Book Id,Title,Author,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Private Notes,Read Count,Owned Copies
8695,"The Restaurant at the End of the Universe (The Hitchhiker’s Guide to the Galaxy, #2)",Douglas Adams,,"=""978034539181""","=""9780345391810""",,4.21,Del Rey,Paperback,250,1995,1980,,2023/04/03,,,currently-reading,,,0,1
100915,"The Lion, the Witch and the Wardrobe (The Chronicles of Narnia, #1)",C.S. Lewis,,"=""978006447104""","=""9780064471046""",4,4.23,HarperCollins,Paperback,206,1994,1950,2015/07/14,2015/07/01,classics,classics (#1),read,,,1,1
140233,"Prince Caspian (The Chronicles of Narnia, #2)",C.S. Lewis,,"=""978006447105""","=""9780064471053""",2,4.0,HarperCollins,Paperback,223,1994,1951,,2015/07/15,dnf,dnf (#1),read,Never got going.,,1,1
13642,"A Wizard of Earthsea (Earthsea Cycle, #1)",Ursula K. Le Guin,,"=""978055338304""","=""9780553383041""",5,4.02,Bantam,Paperback,183,2004,1968,2022/02/19,2022/02/01,fantasy,fantasy (#1),read,,,1,1
13662,"The Tombs of Atuan (Earthsea Cycle, #2)",Ursula K. Le Guin,,"=""978068984536""","=""9780689845369""",,4.06,Atheneum,Paperback,180,2001,1970,,2022/02/20,,,to-read,,,0,1
60652839,"The Daughter of Odren (Earthsea Cycle, #6.5)",Ursula K. Le Guin,,"=""978166593398""","=""9781665933988""",,3.74,Clarion,Hardcover,64,2022,2014,,2022/03/02,,,to-read,,,0,1
29579,"Foundation (Foundation, #1)",Isaac Asimov,,"=""978055329335""","=""9780553293357""",5,4.19,Spectra,Paperback,244,1991,1951,2020/06/06,2020/05/28,sci-fi,sci-fi (#1),read,,,1,1
29581,"Second Foundation (Foundation, #3)",Isaac Asimov,,"=""978055329336""","=""9780553293364""",4,4.25,Spectra,Paperback,279,1991,1953,2020/07/19,2020/06/07,sci-fi,sci-fi (#1),read,,,1,1
34497,"The Colour of Magic (Discworld, #1)",Terry Pratchett,,"=""978006222567""","=""9780062225672""",3,3.92,Harper,Paperback,288,2013,1983,2019/01/12,2019/01/02,humour,humour (#1),read,,,1,1
34506,"The Light Fantastic (Discworld, #2)",Terry Pratchett,,"=""978006222568""","=""9780062225689""",4,4.0,Harper,Paperback,288,2013,1986,2019/02/08,2019/01/13,humour,humour (#1),read,,,1,1
30,"The Lord of the Rings (The Lord of the Rings, #1-3)",J.R.R. Tolkien,,"=""978061864015""","=""9780618640157""",5,4.61,Houghton Mifflin,Hardcover,1216,2005,1955,,2014/01/15,classics,classics (#1),to-read,,,0,1
8855321,"Leviathan Wakes (The Expanse, #1)",James S.A. Corey,,"=""978031612908""","=""9780316129084""",,4.28,Orbit,Paperback,561,2011,2011,,2024/05/06,,,to-read,,,0,1
50202953,Piranesi,Susanna Clarke,,"=""978163557563""","=""9781635575637""",5,4.25,Bloomsbury,Hardcover,245,2020,2020,2021/03/14,2021/02/28,literary,literary (#1),read,,,1,1
6334,Never Let Me Go,Kazuo Ishiguro,,"=""978140007877""","=""9781400078776""",4,3.85,Vintage,Paperback,288,2006,2005,2018/09/09,2018/08/20,literary,literary (#1),read,,,1,1
6288,The Road,Cormac McCarthy,,"=""978030738789""","=""9780307387899""",5,4.01,Vintage,Paperback,287,2006,2006,2017/11/02,2017/10/15,literary,literary (#1),read,,,1,1
49628,Cloud Atlas,David Mitchell,,"=""978037550725""","=""9780375507250""",4,4.03,Random House,Paperback,509,2004,2004,,2019/04/11,literary,literary (#1),read,,,1,1
6149,Beloved,Toni Morrison,,"=""978140003341""","=""9781400033416""",4,3.93,Vintage,Paperback,324,2004,1987,,2020/02/19,literary,literary (#1),to-read,,,0,1
4671,The Great Gatsby,F. Scott Fitzgerald,,"=""978074327356""","=""9780743273565""",3,3.94,Scribner,Paperback,180,2004,1925,2013/05/06,2013/04/28,classics,classics (#1),read,,,1,1
